ATC1;Name1;ATC2;Name2;Mec_Detail;Eff_Detail;Kli_Detail;Grad;Pmids
C01BD07;Dronedaron;G03AA07;Estrogen und Levonorgestrel;Dronedaron hemmt CYP3A4 moderat und auch das intestinale P-Glykoprotein. Estradiol wird zu einem geringen Teil über CYP3A4 metabolisiert und zu einem grossen Teil glukuronidiert. Auch am Metabolismus von Levonorgestrel ist CYP3A4 beteiligt.;Es wurde keine Abnahme von Ethinylestradiol und Levonorgestrel bei gesunden Probanden beobachtet, die gleichzeitig Dronedaron (800 mg zweimal täglich) und orale Kontrazeptiva erhalten hatten [Pharmacode:4359732]. Aufgrund der enzymhemmenden Wirkung von Dronedaron ist eher denkbar, dass sich die Konzentrationen des Kontrazeptivums leicht erhöhen, dies ist aber vermutlich nicht klinisch relevant.;Keine spezifischen Massnahmen erforderlich.;B;
N06AG02;Moclobemid;N06AX05;Trazodon;Sowohl MAO-Hemmer als auch Trazodon wirken auf das Serotoninsystem.;Durch die additive Wirkung auf das serotonerge System im ZNS erhöht sich die Gefahr einer ZNS-Toxizität  und das Risiko eines Serotonin-Syndroms erhöht sich. Mögliche Symptome: Verwirrtheit, Erregung, Angst, Schwitzen, Hyperthermie, Diarrhoe, Übelkeit, Blutdruckschwankungen, Hyperreflexie, Tremor, Ataxie, Myoklonien, Nystagmus. Falls das Syndrom nicht erkannt wird, kann dies zum Tode führen. [PMID:2035713];Die Kombination von MAO-Hemmern und serotonergen Psychopharmaka ist kontraindiziert. Eine Therapie mit Trazodon sollte erst 2 Wochen nach Absetzen der MAO-Hemmer begonnen werden.;X;2035713
N06AG02;Moclobemid;N06AA09;Amitriptylin;Sowohl MAO-Hemmer als auch Amitriptylin wirken auf das Serotoninsystem.;Durch die additive Wirkung auf das serotonerge System im ZNS erhöht sich die Gefahr einer ZNS-Toxizität  und das Risiko eines Serotonin-Syndroms erhöht sich. Mögliche Symptome: Verwirrtheit, Erregung, Angst, Schwitzen, Hyperthermie, Diarrhoe, Übelkeit, Blutdruckschwankungen, Hyperreflexie, Tremor, Ataxie, Myoklonien, Nystagmus. Falls das Syndrom nicht erkannt wird, kann dies zum Tode führen. [PMID:2035713];Die Kombination von MAO-Hemmern und serotonergen Psychopharmaka ist kontraindiziert. Eine Therapie mit Amitriptylin sollte erst 2 Wochen nach Absetzen der MAO-Hemmer begonnen werden.;X;2035713,7905962
C01BD01;Amiodaron;C10AA03;Pravastatin;Amiodaron beeinflusst den Metabolismus von Pravastatin nicht signifikant [PMID:17301736].;Keine relevante Interaktion bekannt.;Keine klinisch relevante Interaktion.;A;15860984,17301736
N03AA04;Barbexaclon;B01AA07;Acenocoumarol;Das in Barbexaclon enthaltene Phenobarbital ist ein wirksamer Induktor u.a. von CYP2C9, welches am Acenocoumarol-Metabolismus wesentlich beteiligt ist. Dies führt zu verminderten Acenocoumarol-Konzentrationen.;Die Kombination von Acenocoumarol mit Barbexaclon führt zu verminderten Acenocoumarol-Konzentrationen. Dadurch wird die antikoagulatorische Wirkung entsprechend abgeschwächt. Dies wurde für die verwandten Substanzen Phenprocoumon und Warfarin mit Phenobarbital gezeigt [PMID:965132][PMID:1109248].;Bei der Kombination sollte der INR engmaschig kontrolliert werden, insbesondere in den ersten Wochen nach Beginn, Dosisänderung oder Absetzen von Barbexaclon. Bei Bedarf Dosis von Acenocoumarol anpassen.;C;965132,1109248
J05AE08;Atazanavir;C01BD07;Dronedaron;Atazanavir ist ein starker Hemmer von CYP3A4. Dronedaron wird hauptsächlich über CYP3A4 metabolisiert.;Durch den gehemmten Metabolismus kann es zu erhöhten Dronedaronkonzentrationen und damit zu einer verstärkten Wirksamkeit kommen. Mögliche Folgen sind: Herzrhythmusstörungen und Blutdruckabfall [Pharmacode:4359732].;Die Kombination von Dronedaron und starken CYP-3A4-Inhibitoren ist kontraindiziert [Pharmacode:4359732].;X;
J02AC01;Fluconazol;C10AA04;Fluvastatin;Fluconazol hemmt CYP2C9 stark und damit auch den Metabolismus von Fluvastatin.;Die AUC von Fluvastatin ist in Kombination mit Fluconazol um 84% erhöht [PMID:10952477]. Dadurch ist das Risiko für Myopathien und Rhabdomyolyse stark erhöht, insbesondere bei höheren Dosierungen. Mögliche Symptome sind: Muskelschmerzen, Muskelschwäche und dunkler Urin [PMID:10952477].;Diese Kombination sollte vermieden werden. Falls unumgänglich, sollte die Fluvastatintherapie möglichst niedrig dosiert begonnen werden. Patient auf Myopathien monitorisieren und regelmässige CK-Bestimmungen. Bei Myopathie Statintherapie sofort absetzen. Eine bessere Alternative wäre Pravastatin oder Rosuvastatin, da diese weniger interaktionsanfällig sind [PMID:15518608].;D;10952477
J01XC01;Fusidinsäure;C10AA03;Pravastatin;Fusidinsäure hat vermutlich eine hemmende Wirkung auf CYP3A4 [Pharmacode: 1774985], Pravastatin wird aber nur zu einem geringen Anteil durch CYP3A4 metabolisiert [Pharmacode: 2123184].;Fusidinsäure und Pravastatin haben vermutlich keinen relevanten Einfluss aufeinander.;Keine besondere Massnahme notwendig;A;18477279
N03AF01;Carbamazepin;H02AB06;Prednisolon;Carbamazepin induziert CYP3A4 stark [Pharmacode:820223] und damit auch den Metabolismus von Prednisolon [PMID:3814762].;Durch die erniedrigten Prednisolonspiegel ist die Steroidwirkung vermindert.;Therapeutische Wirksamkeit der Steroide klinisch monitorisieren. Die Steroid-Dosis kann 3-5 Tage nach Beginn der Carbamazepin-Therapie erhöht werden.;C;3814762,7093397
N03AF02;Oxcarbazepin;B01AA04;Phenprocoumon;Oxcarbazepin ist ein schwacher Induktor von CYP3A4, welches am Metabolismus von Phenprocoumon beteiligt ist [PMID:20515961][PMID:17346248].;Die Kombination aus Oxcarbazepin und Phenprocoumon wurde nicht untersucht. In einer Studie an zehn Probanden ergab die Kombination von Warfarin mit Oxcarbazepin keine relevanten Interaktionen [PMID:1464277]. Oxcarbazepin induziert CYP3A4 nur leicht [PMID:11307049][PMID:8451779], vermutlich ist der Einfluss auf den Metabolismus von Phenprocoumon nicht klinisch relevant.;Bei der Kombination sollte der INR sicherheitshalber kontrolliert werden, insbesondere in den ersten Wochen nach Beginn, Dosisänderung oder Absetzen von Oxcarbazepin.;B;12959634,1464277,20515961,17346248,11307049,8451779
C10AA04;Fluvastatin;J01XX09;Daptomycin;Keine pharmakokinetische Interaktion, beide Substanzen können allerdings eine Myopathie auslösen. Das Risiko ist bei Kombination erhöht [PMID:19346518].;Bei der Kombination aus Daptomycin und Fluvastatin erhöht sich das Risiko für eine Myopathie bzw. Rhabdomyolyse, da beide muskeltoxisch wirken können [PMID:18381844][PMID:17804204][PMID:16705566][PMID:20158283]. Das Hinzufügen von Daptomycin zu einer Therapie mit Simvastatin 80 mg/d führte bei einem Patienten nach 16 Tagen zu einer Rhabdomyolyse. Die CK normalisierte sich 6 Tage nach Stopp von Daptomycin [PMID:19346518].;Auf die Kombination sollte verzichtet werden. Falls eine Therapie mit Daptomycin erforderlich ist, sollte die Statintherapie vorübergehend pausiert werden. Ist die kombinierte Gabe unerlässlich, sollte die CK vor Therapiebeginn und während der Kombination mindestens zweimal wöchentlich kontrolliert und auf klinische Zeichen einer Muskeltoxizität wie Muskelschmerzen sollte geachtet werden.;D;18381844,17804204,16705566,19346518,20158283
J05AE02;Indinavir;C10AA01;Simvastatin;Aufgrund der inhibierenden Wirkung von Indinavir auf CYP3A4 ist mit einem Anstieg der Serumkonzentration von Simvastatin zu rechnen [Pharmacode: 1747244][Pharmacode: 1426310].;Aufgrund der erhöhten Serumkonzentration von Simvastatin besteht ein erhöhtes Risiko für Myopathie und Rhabdomyolyse [Pharmacode: 1426310].;Indinavir und Simvastatin nicht gemeinsam einsetzen. Falls eine Statintherapie indiziert ist, sind Alternativen mit geringerem Risiko wie Pravastatin oder Fluvastatin in Erwägung zu ziehen [Pharmacode:1747244].;X;
B01AA04;Phenprocoumon;B01AB05;Enoxaparin;Beide Substanzen wirken antikoagulatorisch.;Durch die additive Wirkung beider Substanzen nimmt das Blutungsrisiko zu.;Der Patient sollte klinisch auf ein erhöhtes Blutungsrisiko monitorisiert werden, insbesondere auf Symptome einer gastrointestinalen Blutung sollte geachtet werden. Die erhöhte Blutungsneigung zeigt sich nur teilweise in einem veränderten INR.;C;
N05AX08;Risperidon;N04BA01;Levodopa;Risperidon ist ein zentraler Dopamin-Rezeptor-Antagonist mit hoher Affinität für Dopamin-D2-Rezeptoren. Dadurch antagonisiert Risperidon die Wirkung von Levodopa.;Durch die Antagonisierung der Dopamin-D2-Rezeptoren wird die Wirkung von Levodopa reduziert, was zu einer Verschlechterung der Parkinson-Symptome führen kann. Aufgrund schlechter Tolerabilität (u.a. Sedation) gilt Risperidon von den atypischen Antipsychotika nicht als Mittel der Wahl zur Behandlung von Psychosen, die im Zusammenhang mit dem Parkinson-Syndroms auftreten [PMID:16210460][PMID:10752567].;Kombination meiden. Falls diese erforderlich ist, Patienten sorgfältig auf Verringerung der Levodopa-Wirkung überwachen.;D;16210460,10752567,20869621
J01XC01;Fusidinsäure;L04AD02;Tacrolimus;Tacrolimus wird hauptsächlich von CYP3A4 abgebaut, welches vermutlich durch Fusidinsäure gehemmt wird und so die Konzentration von Tacrolimus im Blut erhöht werden kann [Pharmacode:2066291][Pharmacode:1774985].;Erhöhte Blutkonzentrationen von Tacrolimus sind bei der Kombination mit Fusidinsäure nicht ausgeschlossen. Das Risiko für eine toxische Wirkung von Tacrolimus (möglich sind u.a. Nieren- und Leberfunktionsstörungen, Übelkeit, Erbrechen, Tremor) steigt.;Ist die Kombination von Fusidinsäure und Tacrolimus erforderlich, empfiehlt es sich die Tacrolimuskonzentrationen im Blut engmaschig zu überwachen und den Patienten hinsichtlich einer Tacrolimus-Toxizität zu überwachen (u.a. Nieren- und Leberfunktion, Blutbild). Die gleichzeitige Gabe von Fusidinsäure mit CYP3A4 biotransformierenden Medikamenten ist gemäss Fachinformation kontraindiziert, sofern bei einer Konzentrationserhöhung der CYP3A4-Substrate mit schwerwiegenden unerwünschten Wirkungen zu rechnen ist  [Pharmacode:1774985].;D;18644925,18477279,10886126
J05AB15;Brivudin;L01BC02;Fluorouracil;Brivudin hemmt durch seinen Hauptmetaboliten Bromovinyluracil (BVU) die Dihydropyrimidindehydrogenase (DPD) irreversibel. Das Enzym DPD reguliert den Abbau u.a. von 5-Fluorouracil (5-FU). Die Hemmung von DPD führt zu einer Akkumulation und verstärkten Toxizität von 5-FU und anderen Fluoropyrimidinen.;Brivudin bewirkt eine Akkumulation von Fluorouracil (5-FU), mit 5-15-facher Erhöhung der 5-FU Konzentrationen [PMID:15341504]. Dies geht mit einer massiv erhöhten 5-FU-Toxizität einher (Myelotoxizität, Mucositis, Hand-Fuss-Syndrom) [PMID20029444]. Es kam zu einem Todesfall bei einer Patientin, die Capecitabin (ein Prodrug von 5-FU) zusammen mit Brivudin einnahm [PMID:19165642]. Bei gesunden Erwachsenen ist in etwa 18 Tage nach Therapiestopp von Brivudin (Brivudin 125 mg 1 x täglich für 7 Tage) die volle Funktionstüchtigkeit der DPD wiederhergestellt [PMID:15341504].;Die gleichzeitige Gabe von Brivudin und 5-Fluorouracil ist absolut kontraindiziert. Dies gilt auch für die gleichzeitige Gabe von Brivudin und Capecitabin oder anderen 5-Fluoropyrimidinen. Zwischen einer Behandlung mit Brivudin und dem Beginn einer Therapie mit 5-Fluoropyrimidin-haltigen Medikamenten muss ein zeitlicher Abstand von mindestens 4 Wochen eingehalten werden. Zudem sollte bei Patienten, die erst vor kurzem Brivudin erhalten haben, vor Therapiebeginn mit 5-Fluoropyrimidin-haltigen Medikamenten die DPD-Enzymaktivität bestimmt werden.;X;19165642,20029444,15341504,8045919
N02BA01;Acetylsalicylsäure;B01AC22;Prasugrel;Nichtsteroidale Antiphlogistika hemmen wie auch Prasugrel die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung.;Die gleichzeitige Anwendung von Prasugrel mit NSAID über längere Dauer wurde nicht untersucht, von einem erhöhten Blutungsrisiko ist jedoch auszugehen. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAID zusätzlich begünstigt.;Die Kombination von nichtsteroidalen Antiphlogistika mit Prasugrel vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patienten insbesondere auf Symptome einer gastrointestinalen Blutung überwachen. Wenn möglich Wechsel der Analgesie auf Paracetamol oder Opioide.;D;17414229
C01BD01;Amiodaron;C07AB07;Bisoprolol;Beide Substanzen wirken auf die kardiale Erregungsüberleitung.;Bei der Kombination von Amiodaron mit Betablockern kommt es zur gegenseitigen Verstärkung der kardiodepressiven Effekte (u.a. Verlangsamung der AV-Überleitungszeit). Das Risiko für eine verstärkte Bradykardie, höhergradige Reizleitungsstörungen (u.a. AV-Blockierungen), Hypotension und negative Inotropie erhöht sich.;Die Kombination von Amiodaron und Beta-Blockern soll möglichst vermieden werden. Bei bestimmten klinischen Zuständen, zB Postinfarkt-Patienten, hat sie sich allerdings als vorteilhaft erwiesen. Falls die Kombination erforderlich ist, sind EKG, Blutdruck und Herzfrequenz sorgfältig zu monitorisieren.;C;
G04BE09;Vardenafil;C01DX12;Molsidomin;Molsidomin wirkt über die Bildung einer freien NO-Gruppe, welche die Guanylcyclase aktiviert. Diese erhöht die Konzentration von cGMP. Vardenafil inhibiert selektiv die Phosphodiesterase 5 (PDE5), welche cGMP abbaut. Die Kombination führt zu einem starken, additiven Anstieg von cGMP.;Vardenafil potenziert den blutdrucksenkenden Effekt von Nitraten und NO-Donatoren wie Molsidomin. Die Kombination führt zu einer starken, anhaltenden und unter Umständen therapieresistenten Blutdrucksenkung.;Die kombinierte Therapie von Vardenafil und Molsidomin ist wegen der Gefahr schwerer Hypotonien kontraindiziert. Molsidomin darf frühestens 24h nach Absetzen von Vardenafil eingesetzt werden.;X;15197447
N06AXa0;Johanniskraut;G04BE08;Tadalafil;Johanniskraut ist ein Induktor von CYP3A4 und katalysiert so den Metabolismus von Tadalafil.;Bei Komedikation mit Johanniskraut, welches CYP3A4 induziert, kann die Wirksamkeit von Tadalafil beeinträchtigt sein.;Bei Komedikation mit CYP3A4-Induktoren muss mit verringerter Wirksamkeit von Tadalafil gerechnet werden. Die Wirksamkeit soll sorgfältig überwacht und gegebenenfalls durch Dosisanpassungen sichergestellt werden.;C;16100293
L01AA01;Cyclophosphamid;G03AC09;Desogestrel;Cyclophosphamid induziert CYP3A4 [PMID:12065440] und damit auch den Metabolismus von Desogestrel [Pharmacode:Cerazette].;Verminderte Desogestrelspiegel sind möglich und deshalb ist eine verminderte kontrazeptive Wirkung nicht auszuschliessen.;Eine zusätzliche Kontrazeption mit Barrieremethoden ist zu empfehlen. Die Monatsblutung sollte beobachtet und jede Veränderung dem Arzt berichtet werden.;C;12065440
N03AF02;Oxcarbazepin;C02KX04;Sildenafil;Oxcarbazepin induziert CYP3A4 leicht, welches für den Metabolismus von Sildenafil von hauptsächlicher Bedeutung ist.;Bei Komedikation mit Oxcarbazepin kann die Wirksamkeit von Phosphodiesterase-5-Hemmern beeinträchtigt sein.;Bei Komedikation mit CYP3A4-Induktoren muss mit verringerter Wirksamkeit von Sildenafil gerechnet werden. Die Wirksamkeit soll sorgfältig überwacht und gegebenenfalls durch Dosisanpassungen sichergestellt werden.;C;11879259
C10AA01;Simvastatin;N06AB03;Fluoxetin;Fluoxetin hemmt das Isoenzym CYP3A4 leicht und damit auch den Metabolismus von Simvastatin.;Die Kombination von Simvastatin mit dem CYP3A4-Hemmer Fluoxetin kann zu erhöhten Statinspiegeln führen. Dadurch ist das Risiko für Myopathien und Rhabdomyolyse erhöht, insbesondere bei höheren Dosierungen. Mögliche Symptome sind Muskelschmerzen, Muskelschwäche und dunkler Urin.;Falls die Kombination erforderlich ist, regelmässig klinisch auf Zeichen eine Myopathie kontrollieren und CK bestimmen. Eine bessere Alternative wäre Pravastatin, da dieses nicht signifikant über das CYP-System metabolisiert wird oder Rosuvastatin, welches nur zu 10% metabolisiert wird.;C;
N03AA04;Barbexaclon;B01AA04;Phenprocoumon;Das in Barbexaclon enthaltene Phenobarbital ist ein wirksamer Induktor der CYP450 Isoenzyme 2C9 und 3A4 und induziert so den Metabolismus von Phenprocoumon.;Die Kombination von Phenprocoumon mit Barbexaclon führt zu verminderten Phenprocoumon-Konzentrationen. Dadurch wird die antikoagulatorische Wirkung entsprechend abgeschwächt [PMID:965132][PMID:1109248].;Bei der Kombination sollte der INR engmaschig kontrolliert werden, insbesondere in den ersten Wochen nach Beginn, Dosisänderung oder Absetzen von Barbexaclon. Bei Bedarf Dosis von Phenprocoumon anpassen.;C;965132,1109248
N06AX21;Duloxetin;N04BD02;Rasagilin;Beide Substanzen wirken auf das Serotonin-System.[Pharmacode:3082866];Bei dieser Kombination besteht ein erhöhtes Risiko für ein Serotoninsyndrom. Mögliche Symptome: Verwirrtheit, Erregung, Angst, Schwitzen, Hyperthermie, Diarrhoe, Übelkeit, Blutdruckschwankungen, Hyperreflexie, Tremor, Ataxie, Myoklonien, Nystagmus.[Pharmacode:3082866];Die Kombination von Duloxetin und irreversiblen MAO-Hemmern wie Rasagilin ist laut Kompendium kontraindiziert.[Pharmacode:3082866] Eine Therapie mit Rasagilin darf erst 5 Tage nach Absetzen des Duloxetins begonnen werden, eine Therapie mit Duloxetin erst 14 Tage nach Absetzen des Rasagilins. [Pharmacode:3082866];X;
M01AE01;Ibuprofen;B01AB05;Enoxaparin;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung. [PMID:5425364][PMID:7717643];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit therapeutischen Dosierungen von Heparinen vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patienten insbesondere auf Symptome einer gastrointestinalen Blutung überwachen. Das veränderte Blutungsrisiko wird nicht in einem veränderten INR abgebildet. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide. Bei prophylaktischen Dosierungen der Heparine wird die Interaktion als geringfügig eingestuft.;D;5425364,8672833,7717643,10493220
J02AC04;Posaconazol;B01AA04;Phenprocoumon;Posaconazol hemmt CYP3A4, welches neben CYP2C9 am Phenprocoumon-Metabolismus beteiligt ist. Der Phenprocoumon-Metabolismus kann darüber gehemmt werden.;Die Kombination aus oralen Antikoagulantien und Posaconazol wurde bisher nicht untersucht. Allerdings hemmt Posaconazol CYP3A4 [PMID:15066665][PMID:20481649][PMID:19302901], so dass ein Anstieg der Phenprocoumon-Konzentrationen und eine verstärkte antikoagulatorische Wirkung zu erwarten sind.;Bei der Kombination sollte der INR engmaschig kontrolliert werden, insbesondere zu Beginn, bei Dosisänderung oder Absetzen von Posaconazol. Bei Bedarf Dosis von Phenprocoumon anpassen.;C;15066665,20481649,19302901
C02KX01;Bosentan;G04BE08;Tadalafil;Bosentan ist ein Induktor von CYP3A4 [PMID:12713683] und beschleunigt darüber den Abbau von Tadalafil.;Bei gleichzeitiger Behandlung mit Arzneistoffen, die CYP3A4 induzieren, wie Bosentan, kann die Wirksamkeit der Phosphodiesterase-5-Hemmer beeinträchtigt sein. Bosentan verminderte die AUC von Tadalafil um 40% [PMID:18305126]. Die Plasmakonzentrationen von Bosentan wurden zu kleiner 20% und nicht klinisch relevant beeinflusst.;Bei Komedikation mit CYP3A4-Induktoren muss mit verringerter Wirksamkeit von Tadalafil gerechnet werden. Die Wirksamkeit soll sorgfältig überwacht und gegebenenfalls durch Dosisanpassungen sichergestellt werden.;C;18305126,20606131,12713683
C07AB02;Metoprolol;C10AA07;Rosuvastatin;Keine Interaktion. Metoprolol wird über CYP2D6 metabolisiert, Rosuvastatin zu kleiner 10% über CYP2C9.;Die Kombination aus Rosuvastatin und Metoprolol ist Standard in der Behandlung kardiovaskulärer Erkrankungen. Es ist keine klinisch relevante Interaktion bekannt und zu erwarten.;Keine spezifischen Massnahmen erforderlich.;A;
J02AC03;Voriconazol;B01AA04;Phenprocoumon;Voriconazol führt durch Inhibition von CYP2C9 und CYP3A4 zu erhöhten Plasmakonzentrationen von Phenprocoumon.;Die Kombination von Phenprocoumon mit Voriconazol führt zu erhöhten Phenprocoumon-Konzentrationen. Dadurch wird die antikoagulatorische Wirkung verstärkt, und es können vermehrt Blutungskomplikationen auftreten. Dies wurde für die Kombination von Warfarin mit Voriconazol gezeigt [PMID:14616410][Pharmacode:2594340].;Bei der Kombination muss der INR engmaschig kontrolliert werden, insbesondere zu Beginn, bei Dosisänderung oder Absetzen der Azoltherapie. Bei Bedarf Dosis von Phenprocoumon anpassen.;C;14616410
C07AB02;Metoprolol;C10AA05;Atorvastatin;Keine Interaktion. Metoprolol wird über CYP2D6 metabolisiert, Atorvastatin über CYP3A4.;Die Kombination aus Atorvastatin und Metoprolol ist Standard in der Behandlung kardiovaskulärer Erkrankungen. Es ist keine klinisch relevante Interaktion bekannt und zu erwarten.;Keine spezifischen Massnahmen erforderlich.;A;
M01AC05;Lornoxicam;B01AA07;Acenocoumarol;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung. [Pharmacode:2592849];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit Antikoagulantien vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patienten insbesondere auf Symptome einer gastrointestinalen Blutung überwachen und Blutgerinnungsparameter engmaschig monitorisieren. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide.;D;5425364,8672833,10027662
M01AB01;Indometacin;B01AB04;Dalteparin;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung. [PMID:5425364][PMID:10493218];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit therapeutischen Dosierungen von Heparinen vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patienten insbesondere auf Symptome einer gastrointestinalen Blutung überwachen. Das veränderte Blutungsrisiko wird nicht in einem veränderten INR abgebildet. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide. Bei prophylaktischen Dosierungen der Heparine wird die Interaktion als geringfügig eingestuft.;D;5425364,10493218
J02AC03;Voriconazol;G04BE03;Sildenafil;Voriconazol ist ein starker Hemmer von CYP3A4 und kann so den Metabolismus von Sildenafil vermindern, wodurch die Sildenafil-Plasmakonzentration ansteigen kann.;Die Kombination von Sildenafil und Voriconazol führt zu erhöhten Sildenafil-Konzentrationen mit erhöhtem Risiko länger anhaltender Sildenafil-Nebenwirkungen (u.a. Kopfschmerz, Flushing, Priapismus).;Die Kombination von Sildenafil mit potenten CYP3A4-Hemmern sollte vermieden werden. Falls die Kombination erforderlich ist, sollte eine Startdosis von 25 mg Sildenafil verabreicht werden. Patient auf unerwünschte Wirkungen von Sildenafil (u.a. Hypotension, Sehstörungen, Priapismus) monitorisieren.;D;20606131,11879259
A02BC03;Lansoprazol;J02AB02;Ketoconazol;Lansoprazol hemmt die Magensäuresekretion langanhaltend und extensiv. Die gastrointestinale Absorption von Ketoconazol wird durch die verminderte Azidität beeinträchtigt, was zu einer Reduktion der Bioverfügbarkeit führt [PMID:16944963].;Bei der Kombination von oralen Antimykotika und Protonenpumpenblockern kann eine verminderte antimykotische Wirksamkeit nicht ausgeschlossen werden. Therapieversager können vorkommen.;Bei gleichzeitiger Therapie mit einem Protonenpumpenhemmer sollte die Ketoconazol-Kapsel zusammmen mit einem Cola-Getränk eingenommen werden, da dadurch die Resorption um ca. 65% erhöht werden kann [PMID:7486898]. Zusätzlich Ketoconazolkonzentrationen monitorisieren.;C;20608754,7486898
J02AC02;Itraconazol;G04BE03;Sildenafil;Itraconazol hemmt CYP3A4, welches den Hauptweg des Sildenafil-Metabolismus darstellt. Dadurch steigt die Sildenafil-Plasmakonzentration an.;Die Kombination von Sildenafil und Itraconazol führt zu erhöhten Sildenafil-Konzentrationen mit erhöhtem Risiko stärkerer und länger anhaltender Sildenafil-Nebenwirkungen (u.a. Kopfschmerz, Flushing, Priapismus) [Pharmacode:3449485].;Die Kombination von Sildenafil mit potenten CYP3A4-Hemmern sollte vermieden werden. Falls die Kombination erforderlich ist, sollte eine Startdosis von 25 mg Sildenafil verabreicht werden. Patient auf unerwünschte Wirkungen von Sildenafil (u.a. Hypotension, Sehstörungen, Priapismus) monitorisieren.;D;20606131,11879259
L01XE01;Imatinib;B01AA07;Acenocoumarol;Imatinib ist ein moderater Hemmer von CYP2C9 und CYP3A4 und kann darüber die Acenocoumarolkonzentrationen erhöhen [Pharmacode:2707904].;Die Kombination aus Imatinib und Warfarin führte zu einer Verlängerung der Prothrombinzeit [Pharmacode:2707904]. Auch ein Anstieg der Acenocoumarol-Konzentrationen und eine verstärkte antikoagulatorische Wirkung können in der Kombination mit Imatinib auftreten.;Bei der Kombination sollte der INR engmaschig kontrolliert werden, insbesondere zu Beginn, bei Dosisänderung oder Absetzen von Imatinib. Bei Bedarf Dosis von Acenocoumarol anpassen.;C;20356624
N06AX21;Duloxetin;N06AA09;Amitriptylin;Duloxetin hemmt CYP2D6 mässig und damit auch den Metabolismus von Amitriptylin.[Pharmacode:3082866];Die AUC von Desipramin erhöhte sich unter Duloxetin auf das Dreifache, ähnliches gilt wohl auch für Amitriptylin.[Pharmacode:3082866] Dadurch steigt das Risiko für eine toxische Wirkung. Mögliche Folgen: Anticholinerge Effekte, Sedation, Verwirrtheit und kardiale Arrhythmien.;Die Kombination von Trizyklika und Duloxetin wenn möglich meiden. Ist die kombinierte Gabe unumgänglich, müssen die Plasmaspiegel des Trizyklikums engmaschig monitorisiert und die Dosis bei Bedarf angepasst werden. Zusätzlich klinisches Monitoring auf mögliche Toxizität der Trizyklika.;D;
M01AE02;Naproxen;B01AB04;Dalteparin;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung. [PMID:5425364][PMID:10493218] Naproxen scheint aber eines der sichereren NSAIDs zu sein. [PMID:758244 ][PMID:758243];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit therapeutischen Dosierungen von Heparinen vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patienten insbesondere auf Symptome einer gastrointestinalen Blutung überwachen. Das veränderte Blutungsrisiko wird nicht in einem veränderten INR abgebildet. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide. Bei prophylaktischen Dosierungen der Heparine wird die Interaktion als geringfügig eingestuft.;D;5425364,8672833,10493220
J02AC04;Posaconazol;C01BD07;Dronedaron;Posaconazol ist ein starker Hemmer von CYP3A4 [PMID:19302901]. Dronedaron wird hauptsächlich über CYP3A4 metabolisiert.;Durch den gehemmten Metabolismus kann es zu erhöhten Dronedaronkonzentrationen und damit zu einer verstärkten Wirksamkeit kommen. Mögliche Folgen sind: Herzrhythmusstörungen inkl. QT-Zeit-Verlängerung und Blutdruckabfall [Pharmacode:4359732].;Die Kombination von Dronedaron und starken CYP-3A4-Inhibitoren ist kontraindiziert [Pharmacode:4359732].;X;19302901
